id,prob_is_fake,y_pred,y_true
174,0.5228844,1,1.0
175,0.521327,1,1.0
176,0.5228844,1,1.0
177,0.5228844,1,1.0
178,0.5228844,1,1.0
179,0.5228844,1,1.0
180,0.521327,1,1.0
181,0.5228844,1,1.0
182,0.5228844,1,1.0
183,0.521327,1,1.0
184,0.5228844,1,1.0
185,0.521327,1,1.0
186,0.5228844,1,1.0
187,0.521327,1,1.0
188,0.5228844,1,1.0
189,0.5228844,1,1.0
190,0.521327,1,1.0
191,0.540707,1,1.0
192,0.540707,1,1.0
193,0.521327,1,1.0
194,0.5228844,1,1.0
195,0.5228844,1,1.0
196,0.5228844,1,1.0
197,0.5228844,1,1.0
198,0.5228844,1,1.0
199,0.521327,1,1.0
200,0.5228844,1,1.0
201,0.521327,1,1.0
202,0.5228844,1,1.0
203,0.521327,1,1.0
204,0.5228844,1,1.0
205,0.521327,1,1.0
206,0.5228844,1,1.0
207,0.5228844,1,1.0
208,0.5228844,1,1.0
209,0.5228844,1,1.0
210,0.5228844,1,1.0
211,0.5228844,1,1.0
212,0.521327,1,1.0
213,0.521327,1,1.0
214,0.5228844,1,1.0
215,0.5228844,1,1.0
216,0.521327,1,1.0
217,0.5228844,1,1.0
218,0.521327,1,1.0
219,0.5228844,1,1.0
220,0.521327,1,1.0
221,0.5228844,1,1.0
222,0.521327,1,1.0
223,0.540707,1,1.0
224,0.540707,1,1.0
225,0.521327,1,1.0
226,0.5228844,1,1.0
227,0.5228844,1,1.0
228,0.5228844,1,1.0
229,0.5228844,1,1.0
230,0.5228844,1,1.0
231,0.521327,1,1.0
371,0.5228844,1,1.0
372,0.521327,1,1.0
373,0.5228844,1,1.0
374,0.5228844,1,1.0
375,0.521327,1,1.0
376,0.5228844,1,1.0
377,0.521327,1,1.0
378,0.5228844,1,1.0
379,0.521327,1,1.0
380,0.5228844,1,1.0
381,0.521327,1,1.0
382,0.5228844,1,1.0
383,0.521327,1,1.0
384,0.540707,1,1.0
385,0.540707,1,1.0
386,0.5228844,1,1.0
387,0.521327,1,1.0
388,0.540707,1,1.0
389,0.540707,1,1.0
390,0.540707,1,1.0
391,0.540707,1,1.0
392,0.540707,1,1.0
393,0.540707,1,1.0
394,0.521327,1,1.0
395,0.5228844,1,1.0
396,0.521327,1,1.0
397,0.5228844,1,1.0
398,0.521327,1,1.0
399,0.5228844,1,1.0
400,0.5228844,1,1.0
401,0.521327,1,1.0
462,0.5228844,1,1.0
463,0.521327,1,1.0
464,0.5228844,1,1.0
465,0.5228844,1,1.0
466,0.521327,1,1.0
467,0.5228844,1,1.0
468,0.521327,1,1.0
469,0.5228844,1,1.0
470,0.521327,1,1.0
471,0.5228844,1,1.0
472,0.521327,1,1.0
473,0.5228844,1,1.0
474,0.521327,1,1.0
475,0.5228844,1,1.0
476,0.521327,1,1.0
477,0.521327,1,1.0
478,0.521327,1,1.0
479,0.540707,1,1.0
480,0.540707,1,1.0
481,0.5228844,1,1.0
482,0.521327,1,1.0
483,0.521327,1,1.0
484,0.5228844,1,1.0
485,0.5228844,1,1.0
486,0.521327,1,1.0
487,0.5228844,1,1.0
488,0.521327,1,1.0
1198,0.5228844,1,1.0
1199,0.521327,1,1.0
1200,0.5228844,1,1.0
1201,0.5228844,1,1.0
1202,0.521327,1,1.0
1203,0.5228844,1,1.0
1204,0.521327,1,1.0
1205,0.521327,1,1.0
1206,0.5228844,1,1.0
1207,0.5228844,1,1.0
1208,0.521327,1,1.0
1209,0.5228844,1,1.0
1210,0.521327,1,1.0
1211,0.5228844,1,1.0
