id,prob_is_fake,y_pred,y_true
8,0.48176777,0,1.0
24,0.48176777,0,1.0
45,0.48176777,0,1.0
82,0.51019245,1,1.0
142,0.48176777,0,1.0
148,0.51019245,1,1.0
179,0.48176777,0,1.0
202,0.48176777,0,1.0
206,0.51019245,1,1.0
208,0.48176777,0,1.0
214,0.51019245,1,1.0
249,0.51019245,1,1.0
259,0.51019245,1,1.0
278,0.51019245,1,1.0
375,0.51019245,1,1.0
391,0.51019245,1,1.0
397,0.48176777,0,1.0
409,0.48176777,0,1.0
493,0.48176777,0,1.0
501,0.48176777,0,1.0
533,0.48176777,0,1.0
565,0.48176777,0,1.0
587,0.51019245,1,1.0
600,0.51019245,1,1.0
605,0.48176777,0,1.0
648,0.48176777,0,1.0
668,0.51019245,1,1.0
682,0.48176777,0,1.0
684,0.48176777,0,1.0
739,0.51019245,1,1.0
786,0.51019245,1,1.0
819,0.51019245,1,1.0
823,0.51019245,1,1.0
848,0.48176777,0,1.0
865,0.48176777,0,1.0
896,0.48176777,0,1.0
904,0.48176777,0,1.0
913,0.51019245,1,1.0
952,0.48176777,0,1.0
954,0.48176777,0,1.0
983,0.48176777,0,1.0
999,0.48176777,0,1.0
1003,0.51019245,1,1.0
1009,0.48176777,0,1.0
1019,0.48176777,0,1.0
1025,0.51019245,1,1.0
1026,0.51019245,1,1.0
1028,0.51019245,1,1.0
1128,0.48176777,0,1.0
1144,0.48176777,0,1.0
1153,0.51019245,1,1.0
1186,0.48176777,0,1.0
1189,0.48176777,0,1.0
1196,0.48176777,0,1.0
1216,0.51019245,1,1.0
1244,0.51019245,1,1.0
1250,0.48176777,0,1.0
1260,0.51019245,1,1.0
1272,0.51019245,1,1.0
1289,0.51019245,1,1.0
1291,0.51019245,1,1.0
1311,0.51019245,1,1.0
1342,0.51019245,1,1.0
1352,0.48176777,0,1.0
1391,0.48176777,0,1.0
1415,0.51019245,1,1.0
1443,0.48176777,0,1.0
1539,0.48176777,0,1.0
1545,0.48176777,0,1.0
1546,0.48176777,0,1.0
1551,0.48176777,0,1.0
1565,0.48176777,0,1.0
1581,0.48176777,0,1.0
1582,0.51019245,1,1.0
1587,0.51019245,1,1.0
1634,0.48176777,0,1.0
1667,0.48176777,0,1.0
